"domestic energy production in Pakistan",Value,Year,Units
"Coal and coal products",51785,2000, TJ
"Coal and coal products",55703,2001, TJ
"Coal and coal products",55063,2002, TJ
"Coal and coal products",55307,2003, TJ
"Coal and coal products",72461,2004, TJ
"Coal and coal products",77734,2005, TJ
"Coal and coal products",61614,2006, TJ
"Coal and coal products",70254,2007, TJ
"Coal and coal products",64519,2008, TJ
"Coal and coal products",57185,2009, TJ
"Coal and coal products",57305,2010, TJ
"Coal and coal products",57292,2011, TJ
"Coal and coal products",51795,2012, TJ
"Coal and coal products",56632,2013, TJ
"Coal and coal products",62050,2014, TJ
"Coal and coal products",72695,2015, TJ
"Coal and coal products",70956,2016, TJ
"Coal and coal products",71773,2017, TJ
"Coal and coal products",99568,2018, TJ
"Coal and coal products",133637,2019, TJ
"Coal and coal products",139382,2020, TJ
"Coal and coal products",146105,2021, TJ
"Coal and coal products",207122,2022, TJ
"Coal and coal products",233101,2023, TJ
"Primary oil",125214,2000, TJ
"Primary oil",141917,2001, TJ
"Primary oil",138706,2002, TJ
"Primary oil",134235,2003, TJ
"Primary oil",144237,2004, TJ
"Primary oil",149679,2005, TJ
"Primary oil",154640,2006, TJ
"Primary oil",159881,2007, TJ
"Primary oil",148792,2008, TJ
"Primary oil",146479,2009, TJ
"Primary oil",146440,2010, TJ
"Primary oil",147928,2011, TJ
"Primary oil",166312,2012, TJ
"Primary oil",189414,2013, TJ
"Primary oil",206556,2014, TJ
"Primary oil",199131,2015, TJ
"Primary oil",202906,2016, TJ
"Primary oil",207675,2017, TJ
"Primary oil",209082,2018, TJ
"Primary oil",183924,2019, TJ
"Primary oil",179202,2020, TJ
"Primary oil",175656,2021, TJ
"Primary oil",167143,2022, TJ
"Primary oil",162199,2023, TJ
"Natural gas",697910,2000, TJ
"Natural gas",729363,2001, TJ
"Natural gas",747136,2002, TJ
"Natural gas",927489,2003, TJ
"Natural gas",1015874,2004, TJ
"Natural gas",1073682,2005, TJ
"Natural gas",1076441,2006, TJ
"Natural gas",1137024,2007, TJ
"Natural gas",1107764,2008, TJ
"Natural gas",1143048,2009, TJ
"Natural gas",1129839,2010, TJ
"Natural gas",1128159,2011, TJ
"Natural gas",1136115,2012, TJ
"Natural gas",1110628,2013, TJ
"Natural gas",1101326,2014, TJ
"Natural gas",1015632,2015, TJ
"Natural gas",941509,2016, TJ
"Natural gas",792918,2017, TJ
"Natural gas",1021347,2018, TJ
"Natural gas",936456,2019, TJ
"Natural gas",994313,2020, TJ
"Natural gas",866179,2021, TJ
"Natural gas",836540,2022, TJ
"Natural gas",817900,2023, TJ
"Nuclear",21785,2000, TJ
"Nuclear",24992,2001, TJ
"Nuclear",18981,2002, TJ
"Nuclear",19199,2003, TJ
"Nuclear",30490,2004, TJ
"Nuclear",27098,2005, TJ
"Nuclear",24960,2006, TJ
"Nuclear",33567,2007, TJ
"Nuclear",17650,2008, TJ
"Nuclear",31570,2009, TJ
"Nuclear",37309,2010, TJ
"Nuclear",57436,2011, TJ
"Nuclear",49669,2012, TJ
"Nuclear",55527,2013, TJ
"Nuclear",63316,2014, TJ
"Nuclear",50236,2015, TJ
"Nuclear",76352,2016, TJ
"Nuclear",107781,2017, TJ
"Nuclear",108098,2018, TJ
"Nuclear",117981,2019, TJ
"Nuclear",101956,2020, TJ
"Nuclear",209170,2021, TJ
"Nuclear",283189,2022, TJ
"Nuclear",285483,2023, TJ
"Hydropower",61898,2000, TJ
"Hydropower",68187,2001, TJ
"Hydropower",80463,2002, TJ
"Hydropower",96998,2003, TJ
"Hydropower",92415,2004, TJ
"Hydropower",111103,2005, TJ
"Hydropower",115030,2006, TJ
"Hydropower",103345,2007, TJ
"Hydropower",100022,2008, TJ
"Hydropower",101134,2009, TJ
"Hydropower",114519,2010, TJ
"Hydropower",102661,2011, TJ
"Hydropower",107485,2012, TJ
"Hydropower",114742,2013, TJ
"Hydropower",116906,2014, TJ
"Hydropower",124678,2015, TJ
"Hydropower",115858,2016, TJ
"Hydropower",100530,2017, TJ
"Hydropower",98420,2018, TJ
"Hydropower",120906,2019, TJ
"Hydropower",120772,2020, TJ
"Hydropower",117741,2021, TJ
"Hydropower",131914,2022, TJ
"Hydropower",145633,2023, TJ
"Solar, wind and other renewables",,2000, TJ
"Solar, wind and other renewables",,2001, TJ
"Solar, wind and other renewables",,2002, TJ
"Solar, wind and other renewables",,2003, TJ
"Solar, wind and other renewables",,2004, TJ
"Solar, wind and other renewables",,2005, TJ
"Solar, wind and other renewables",,2006, TJ
"Solar, wind and other renewables",,2007, TJ
"Solar, wind and other renewables",,2008, TJ
"Solar, wind and other renewables",,2009, TJ
"Solar, wind and other renewables",0,2010, TJ
"Solar, wind and other renewables",0,2011, TJ
"Solar, wind and other renewables",0,2012, TJ
"Solar, wind and other renewables",1430,2013, TJ
"Solar, wind and other renewables",2888,2014, TJ
"Solar, wind and other renewables",3577,2015, TJ
"Solar, wind and other renewables",7044,2016, TJ
"Solar, wind and other renewables",10399,2017, TJ
"Solar, wind and other renewables",13721,2018, TJ
"Solar, wind and other renewables",13002,2019, TJ
"Solar, wind and other renewables",13100,2020, TJ
"Solar, wind and other renewables",19424,2021, TJ
"Solar, wind and other renewables",18077,2022, TJ
"Solar, wind and other renewables",18589,2023, TJ
"Biofuels and waste",1013239,2000, TJ
"Biofuels and waste",1045292,2001, TJ
"Biofuels and waste",1071832,2002, TJ
"Biofuels and waste",1095565,2003, TJ
"Biofuels and waste",1120279,2004, TJ
"Biofuels and waste",1144751,2005, TJ
"Biofuels and waste",1169013,2006, TJ
"Biofuels and waste",1194328,2007, TJ
"Biofuels and waste",1220662,2008, TJ
"Biofuels and waste",1248158,2009, TJ
"Biofuels and waste",1276574,2010, TJ
"Biofuels and waste",1303796,2011, TJ
"Biofuels and waste",1327436,2012, TJ
"Biofuels and waste",1347985,2013, TJ
"Biofuels and waste",1367104,2014, TJ
"Biofuels and waste",1382831,2015, TJ
"Biofuels and waste",1357570,2016, TJ
"Biofuels and waste",1336478,2017, TJ
"Biofuels and waste",1316321,2018, TJ
"Biofuels and waste",1281587,2019, TJ
"Biofuels and waste",1270529,2020, TJ
"Biofuels and waste",1262148,2021, TJ
"Biofuels and waste",1286316,2022, TJ
"Biofuels and waste",1311392,2023, TJ