"total energy supply in Pakistan",Value,Year,Units
"Coal and coal products",77953,2000, TJ
"Coal and coal products",85496,2001, TJ
"Coal and coal products",98575,2002, TJ
"Coal and coal products",132331,2003, TJ
"Coal and coal products",163756,2004, TJ
"Coal and coal products",156272,2005, TJ
"Coal and coal products",179102,2006, TJ
"Coal and coal products",235718,2007, TJ
"Coal and coal products",193003,2008, TJ
"Coal and coal products",185912,2009, TJ
"Coal and coal products",175223,2010, TJ
"Coal and coal products",169420,2011, TJ
"Coal and coal products",154331,2012, TJ
"Coal and coal products",142846,2013, TJ
"Coal and coal products",200347,2014, TJ
"Coal and coal products",207741,2015, TJ
"Coal and coal products",265052,2016, TJ
"Coal and coal products",450065,2017, TJ
"Coal and coal products",533204,2018, TJ
"Coal and coal products",587617,2019, TJ
"Coal and coal products",660481,2020, TJ
"Coal and coal products",646551,2021, TJ
"Coal and coal products",453249,2022, TJ
"Coal and coal products",443203,2023, TJ
"Oil and oil products",795965,2000, TJ
"Oil and oil products",767450,2001, TJ
"Oil and oil products",746493,2002, TJ
"Oil and oil products",616826,2003, TJ
"Oil and oil products",672766,2004, TJ
"Oil and oil products",689913,2005, TJ
"Oil and oil products",774434,2006, TJ
"Oil and oil products",826944,2007, TJ
"Oil and oil products",833972,2008, TJ
"Oil and oil products",815471,2009, TJ
"Oil and oil products",846231,2010, TJ
"Oil and oil products",844829,2011, TJ
"Oil and oil products",871735,2012, TJ
"Oil and oil products",950433,2013, TJ
"Oil and oil products",1017233,2014, TJ
"Oil and oil products",1094800,2015, TJ
"Oil and oil products",1177691,2016, TJ
"Oil and oil products",1166390,2017, TJ
"Oil and oil products",910814,2018, TJ
"Oil and oil products",803163,2019, TJ
"Oil and oil products",964156,2020, TJ
"Oil and oil products",1204724,2021, TJ
"Oil and oil products",880377,2022, TJ
"Oil and oil products",879434,2023, TJ
"Natural gas",697845,2000, TJ
"Natural gas",729246,2001, TJ
"Natural gas",746793,2002, TJ
"Natural gas",927257,2003, TJ
"Natural gas",1015597,2004, TJ
"Natural gas",1073592,2005, TJ
"Natural gas",1076309,2006, TJ
"Natural gas",1137000,2007, TJ
"Natural gas",1107634,2008, TJ
"Natural gas",1142892,2009, TJ
"Natural gas",1130514,2010, TJ
"Natural gas",1127902,2011, TJ
"Natural gas",1135781,2012, TJ
"Natural gas",1111133,2013, TJ
"Natural gas",1119015,2014, TJ
"Natural gas",1111894,2015, TJ
"Natural gas",1117762,2016, TJ
"Natural gas",1090060,2017, TJ
"Natural gas",1327376,2018, TJ
"Natural gas",1244561,2019, TJ
"Natural gas",1337470,2020, TJ
"Natural gas",1202036,2021, TJ
"Natural gas",1214681,2022, TJ
"Natural gas",1214487,2023, TJ
"Nuclear",21785,2000, TJ
"Nuclear",24992,2001, TJ
"Nuclear",18981,2002, TJ
"Nuclear",19199,2003, TJ
"Nuclear",30490,2004, TJ
"Nuclear",27098,2005, TJ
"Nuclear",24960,2006, TJ
"Nuclear",33567,2007, TJ
"Nuclear",17650,2008, TJ
"Nuclear",31570,2009, TJ
"Nuclear",37309,2010, TJ
"Nuclear",57436,2011, TJ
"Nuclear",49669,2012, TJ
"Nuclear",55527,2013, TJ
"Nuclear",63316,2014, TJ
"Nuclear",50236,2015, TJ
"Nuclear",76352,2016, TJ
"Nuclear",107781,2017, TJ
"Nuclear",108098,2018, TJ
"Nuclear",117981,2019, TJ
"Nuclear",101956,2020, TJ
"Nuclear",209170,2021, TJ
"Nuclear",283189,2022, TJ
"Nuclear",285483,2023, TJ
"Hydropower",61898,2000, TJ
"Hydropower",68187,2001, TJ
"Hydropower",80463,2002, TJ
"Hydropower",96998,2003, TJ
"Hydropower",92415,2004, TJ
"Hydropower",111103,2005, TJ
"Hydropower",115030,2006, TJ
"Hydropower",103345,2007, TJ
"Hydropower",100022,2008, TJ
"Hydropower",101134,2009, TJ
"Hydropower",114519,2010, TJ
"Hydropower",102661,2011, TJ
"Hydropower",107485,2012, TJ
"Hydropower",114742,2013, TJ
"Hydropower",116906,2014, TJ
"Hydropower",124678,2015, TJ
"Hydropower",115858,2016, TJ
"Hydropower",100530,2017, TJ
"Hydropower",98420,2018, TJ
"Hydropower",120906,2019, TJ
"Hydropower",120772,2020, TJ
"Hydropower",117741,2021, TJ
"Hydropower",131914,2022, TJ
"Hydropower",145633,2023, TJ
"Solar, wind and other renewables",,2000, TJ
"Solar, wind and other renewables",,2001, TJ
"Solar, wind and other renewables",,2002, TJ
"Solar, wind and other renewables",,2003, TJ
"Solar, wind and other renewables",,2004, TJ
"Solar, wind and other renewables",,2005, TJ
"Solar, wind and other renewables",,2006, TJ
"Solar, wind and other renewables",,2007, TJ
"Solar, wind and other renewables",,2008, TJ
"Solar, wind and other renewables",,2009, TJ
"Solar, wind and other renewables",0,2010, TJ
"Solar, wind and other renewables",0,2011, TJ
"Solar, wind and other renewables",0,2012, TJ
"Solar, wind and other renewables",1430,2013, TJ
"Solar, wind and other renewables",2888,2014, TJ
"Solar, wind and other renewables",3577,2015, TJ
"Solar, wind and other renewables",7044,2016, TJ
"Solar, wind and other renewables",10399,2017, TJ
"Solar, wind and other renewables",13721,2018, TJ
"Solar, wind and other renewables",13002,2019, TJ
"Solar, wind and other renewables",13100,2020, TJ
"Solar, wind and other renewables",19424,2021, TJ
"Solar, wind and other renewables",18077,2022, TJ
"Solar, wind and other renewables",18589,2023, TJ
"Biofuels and waste",1013239,2000, TJ
"Biofuels and waste",1045292,2001, TJ
"Biofuels and waste",1071832,2002, TJ
"Biofuels and waste",1095565,2003, TJ
"Biofuels and waste",1120279,2004, TJ
"Biofuels and waste",1144751,2005, TJ
"Biofuels and waste",1169013,2006, TJ
"Biofuels and waste",1194328,2007, TJ
"Biofuels and waste",1220662,2008, TJ
"Biofuels and waste",1248158,2009, TJ
"Biofuels and waste",1276574,2010, TJ
"Biofuels and waste",1303796,2011, TJ
"Biofuels and waste",1327436,2012, TJ
"Biofuels and waste",1347985,2013, TJ
"Biofuels and waste",1367104,2014, TJ
"Biofuels and waste",1382831,2015, TJ
"Biofuels and waste",1357570,2016, TJ
"Biofuels and waste",1336478,2017, TJ
"Biofuels and waste",1316321,2018, TJ
"Biofuels and waste",1281587,2019, TJ
"Biofuels and waste",1270529,2020, TJ
"Biofuels and waste",1262148,2021, TJ
"Biofuels and waste",1286316,2022, TJ
"Biofuels and waste",1311392,2023, TJ