"energy, Pakistan",Value,Year,Units
"Imports",756842,2000,TJ
"Imports",720271,2001,TJ
"Imports",712435,2002,TJ
"Imports",644815,2003,TJ
"Imports",698393,2004,TJ
"Imports",712429,2005,TJ
"Imports",831460,2006,TJ
"Imports",917074,2007,TJ
"Imports",905327,2008,TJ
"Imports",906434,2009,TJ
"Imports",934806,2010,TJ
"Imports",869651,2011,TJ
"Imports",873956,2012,TJ
"Imports",928372,2013,TJ
"Imports",1096211,2014,TJ
"Imports",1206551,2015,TJ
"Imports",1417273,2016,TJ
"Imports",1721445,2017,TJ
"Imports",1579278,2018,TJ
"Imports",1428683,2019,TJ
"Imports",1765260,2020,TJ
"Imports",1969157,2021,TJ
"Imports",1402261,2022,TJ
"Imports",1392896,2023,TJ
"Exports",-34305,2000,TJ
"Exports",-35946,2001,TJ
"Exports",-38546,2002,TJ
"Exports",-44158,2003,TJ
"Exports",-46643,2004,TJ
"Exports",-56162,2005,TJ
"Exports",-59918,2006,TJ
"Exports",-59422,2007,TJ
"Exports",-53647,2008,TJ
"Exports",-63850,2009,TJ
"Exports",-69433,2010,TJ
"Exports",-38894,2011,TJ
"Exports",-31744,2012,TJ
"Exports",-43884,2013,TJ
"Exports",-71868,2014,TJ
"Exports",-53139,2015,TJ
"Exports",-42483,2016,TJ
"Exports",-52625,2017,TJ
"Exports",-48524,2018,TJ
"Exports",-31119,2019,TJ
"Exports",-24265,2020,TJ
"Exports",-30224,2021,TJ
"Exports",-30326,2022,TJ
"Exports",-30326,2023,TJ